OBJECTID,english_ro,RoadClass,LandUse,priority_score,query_lon,query_lat,mapillary_has_coverage,mapillary_image_count,sidewalk_present,crossing_present,school_context,market_context,transit_stop_context,pedestrian_activity_visible,mapillary_api_value_count,mapillary_feature_error,mapillary_api_values,school_or_market_context,speed_sign_visible,notes,mapillary_images_cached,mapillary_image_rank,mapillary_image_id,mapillary_captured_at,mapillary_compass_angle,mapillary_is_pano,mapillary_image_lon,mapillary_image_lat,mapillary_thumbnail_url,mapillary_api_errors
3828,,trunk,RURAL,0.9765236370912248,78.7373883,21.136349,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,
3982,,trunk,RURAL,0.9782364050734222,73.431243,19.6304782,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,
3823,,trunk,RURAL,0.9736300846987924,78.2052384,21.108869,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,
3827,,trunk,URBAN,0.9729897788377811,72.8803745,19.4072943,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,
3999,,trunk,RURAL,0.989595430629465,72.9415557,19.8199901,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,
3993,,trunk,RURAL,0.9859492866938052,72.9034044,19.285041,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,
3746,,trunk,RURAL,0.9664007265872222,73.9956397,19.1318611,1,31,0.0,0.0,0.0,0.0,0.0,0.0,11,,object--sign--advertisement;object--support--utility-pole;object--traffic-sign--back;object--traffic-sign--front;warning--traffic-signals--g1,,,,1.0,1.0,4300725190247982.5,1769343662424.0,204.0,False,73.9960366487503,19.131915587921284,,
3974,,trunk,RURAL,0.9636373944925218,73.0866838,19.2717024,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,
3798,,trunk,RURAL,0.9726959718400392,78.9263996,20.646193,1,52,0.0,0.0,0.0,0.0,0.0,0.0,37,,object--banner;object--sign--advertisement;object--street-light;object--support--utility-pole;object--traffic-sign--back;object--traffic-sign--front;regulatory--stop--g1;warning--road-bump--g1,,,,1.0,1.0,895144266692630.0,1773823690954.0,197.65513943776813,False,78.9263767004013,20.646815436441784,,
3735,,trunk,RURAL,0.9637349594980956,78.7611071,21.1378096,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,
3787,,trunk,RURAL,0.9681801576572964,79.2487165,21.3734855,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,1.0,1.0,216737989921278.0,1506783480000.0,202.74939480486,False,79.24918591976166,21.374131772550825,,
3653,,trunk,RURAL,0.960499359652309,77.0333053,20.6718592,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,
3799,,trunk,RURAL,0.9722460447985432,78.987972,20.9074098,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,1.0,1.0,771970817044819.0,1506859042000.0,198.06373451363,False,78.9877188205719,20.906751934338686,,
3729,,motorway,URBAN,0.9617417805779094,73.755194,19.9538214,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,
3890,,trunk,RURAL,0.9603649075521986,74.2352048,20.3309625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,
3491,,trunk,RURAL,0.9579307044103468,78.8088596,20.5484691,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,
3842,,trunk,RURAL,0.9567073440246184,73.5908116,19.6944537,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,
3721,,primary,RURAL,0.9567849735460064,73.9836489,17.0042054,1,25,0.0,0.0,0.0,1.0,0.0,0.0,20,,complementary--chevron-right--g1;object--sign--advertisement;object--sign--store;object--support--utility-pole;object--traffic-sign--back;object--traffic-sign--front;warning--curve-right--g1,,,,1.0,1.0,1596029384339198.0,1733207132324.0,239.0,False,73.9833927154541,17.00419509755511,,
3764,,trunk,RURAL,0.9565533782262264,73.3191507,18.1707894,1,7,0.0,0.0,0.0,0.0,0.0,0.0,3,,object--sign--advertisement,,,,1.0,1.0,785261917851281.0,1777530334734.0,180.0,False,73.31921875476837,18.17011989511664,,
3605,,trunk,RURAL,0.957869486195052,77.8334624,21.0260964,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,
3837,,trunk,RURAL,0.9558262646431168,74.1412434,19.2497985,1,23,0.0,0.0,0.0,1.0,0.0,0.0,5,,object--sign--advertisement;object--sign--store,,,,1.0,1.0,1454591492979671.0,1769341464040.0,108.5298873331202,False,74.1412889957428,19.24955032791796,,
3558,,trunk,RURAL,0.9488461854868002,74.7817688,19.0114678,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,1.0,1.0,2604045956642365.0,1764482490519.0,154.0,False,74.78230476379395,19.01092571046823,,
3397,,trunk,RURAL,0.9476739169688304,78.8215201,20.5387704,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,1.0,1.0,456091652353320.0,1506861347000.0,295.44071448362,False,78.82107853889465,20.53883991970352,,
3464,,trunk,RURAL,0.9463632538725872,76.8791411,18.5203495,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,
3463,,trunk,RURAL,0.9472352770575656,78.716014,20.3447203,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,1.0,1.0,1129063837576192.0,1506863010000.0,174.20418333248,False,78.71611833572388,20.344647062937128,,
3424,,trunk,RURAL,0.9453690835812342,74.9153495,18.7989472,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,
3573,,trunk,RURAL,0.9444172766295054,75.493516,20.1371605,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,
3822,,trunk,RURAL,0.9441788769619144,74.885684,19.3760097,1,11,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,1.0,1.0,1539774010425571.0,1772351561783.0,177.0,False,74.8859292268753,19.376569388302173,,
3368,,trunk,RURAL,0.9436599373804794,78.9308636,20.616029,1,91,0.0,1.0,0.0,1.0,0.0,0.0,59,,information--general-directions--g1;marking--discrete--crosswalk-zebra;object--sign--advertisement;object--sign--information;object--sign--store;object--street-light;object--support--pole;object--support--utility-pole;object--traffic-sign--back;object--traffic-sign--direction-front;object--traffic-sign--front;regulatory--stop--g1;warning--uneven-road--g1,,,,1.0,1.0,1361471022403903.0,1772279945000.0,297.0,False,78.93108665943146,20.61650243690717,,
3882,,trunk,RURAL,0.9425396740187552,74.5688999,20.5770238,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,1.0,1.0,855674055156185.0,1505126827000.0,70.096776289806,False,74.56872582435608,20.5769780380553,,
3908,,trunk,RURAL,0.9423393326858976,73.0935216,18.8425272,1,36,0.0,0.0,0.0,0.0,0.0,0.0,3,,object--support--pole,,,,1.0,1.0,911693536063634.0,1513915952168.0,205.49714660645,False,73.09353232383728,18.843161818861304,,
3542,,trunk,RURAL,0.939779712725455,75.4215488,21.0159659,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,
3860,,motorway,URBAN,0.9407590159351412,73.0695169,19.0344685,1,24,0.0,0.0,0.0,0.0,0.0,0.0,8,,object--sign--advertisement;object--support--pole;object--traffic-sign--direction-back;object--traffic-sign--direction-front;warning--uneven-road--g1,,,,1.0,1.0,681219748326751.0,1743558624110.0,56.06170881116526,False,73.06922614574432,19.034492804748297,,
3995,,trunk,RURAL,0.9433192006006788,74.0263801,18.6213607,1,34,0.0,0.0,0.0,1.0,0.0,0.0,47,,complementary--chevron-left--g1;object--sign--advertisement;object--sign--store;object--street-light;object--support--utility-pole;object--traffic-sign--direction-front;object--traffic-sign--front,,,,1.0,1.0,1234554148280935.0,1745659032425.0,99.0,False,74.02600228786469,18.621205211407727,,
